"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.884,22.0201134150705,-188.728941063603
0.888,22.1942279614737,-186.599089332573
0.892,22.3705420126554,-184.477922480173
0.896,22.5490943942111,-182.365235495358
0.9,22.7299246487259,-180.260826049316
0.904,22.9130730491787,-178.164494428067
0.908,23.0985806126653,-176.076043466868
0.912,23.2864891144518,-173.995278486365
0.916,23.4768411023587,-171.922007230448
0.92,23.6696799114909,-169.85603980576
0.924,23.8650496793117,-167.797188622831
0.928,24.0629953610755,-165.745268338778
0.932,24.2635627456228,-163.70009580154
0.936,24.4667984715455,-161.66148999561
0.94,24.6727500437323,-159.629271989233
0.944,24.8814658502992,-157.603264883022
0.948,25.0929951799161,-155.583293759973
0.952,25.3073882395367,-153.569185636837
0.956,25.52469617254,-151.560769416834
0.96,25.7449710772928,-149.557875843664
0.964,25.9682660261422,-147.560337456791
0.968,26.194635084847,-145.567988547996
0.972,26.4241333324578,-143.580665119139
0.976,26.6568168816548,-141.598204841144
0.98,26.8927428995545,-139.620447014153
0.984,27.1319696289937,-137.64723252886
0.988,27.3745564103022,-135.678403828979
0.992,27.6205637035746,-133.713804874849
0.996,27.8700531114518,-131.753281108145
1,28.1230874024225,-129.796679417698
1.004,28.3797305346582,-127.843848106383
1.008,28.6400476803894,-125.8946368591
1.012,28.9041052508389,-123.948896711794
1.016,29.1719709217207,-122.006480021545
1.02,29.4437136593182,-120.067240437693
1.024,29.7194037471547,-118.131032873991
1.028,29.9991128132668,-116.197713481803
1.032,30.282913858096,-114.267139624308
1.036,30.5708812830098,-112.33916985174
1.04,30.8630909194662,-110.413663877634
1.044,31.1596200588358,-108.490482556088
1.048,31.4605474828942,-106.569487860052
1.052,31.7659534950002,-104.650542860618
1.056,32.0759199519729,-102.733511707338
1.06,32.3905302966826,-100.818259609563
1.064,32.709869591371,-98.9046528188066
1.068,33.0340245517143,-96.9925586121428
1.072,33.3630835816467,-95.081845276643
1.076,33.6971368089569,-93.1723820948628
1.08,34.0362761216759,-91.2640393313863
1.084,34.3805952052704,-89.356688220442
1.088,34.7301895806594,-87.450200954599
1.092,35.0851566430679,-85.5444506745625
1.096,35.4455957017375,-83.6393114600788
1.1,35.8116080205076,-81.7346583219727
1.104,36.1832968592862,-79.8303671953306
1.108,36.560767516426,-77.9263149338516
1.112,36.944127372024,-76.0223793053892
1.116,37.3334859321615,-74.1184389887054
1.12,37.728954874101,-72.2143735714621
1.124,38.1306480924603,-70.3100635494769
1.128,38.5386817463775,-68.4053903272727
1.132,38.953174307689,-66.5002362199491
1.136,39.3742466101341,-64.5944844564087
1.14,39.8020218996072,-62.6880191839732
1.144,40.2366258854733,-60.7807254744236
1.148,40.6781867929656,-58.8724893315027
1.152,41.1268354166829,-56.9631976999215
1.156,41.5827051752029,-55.0527384759085
1.16,42.0459321668314,-53.1410005193505
1.164,42.5166552265015,-51.2278736675659
1.168,42.9950159838429,-49.313248750766
1.172,43.4811589224354,-47.3970176092499
1.176,43.9752314402652,-45.4790731123903
1.18,44.4773839113984,-43.5593091794648
1.184,44.987769748888,-41.6376208023942
1.188,45.5065454689297,-39.7139040704459
1.192,46.0338707562808,-37.7880561969712
1.196,46.5699085309562,-35.859975548241
1.2,47.1148250162148,-33.9295616744519
1.204,47.6687898078481,-31.9967153429768
1.208,48.2319759447843,-30.0613385739362
1.212,48.8045599810158,-28.1233346781703
1.216,49.3867220588628,-26.182608297697
